date,negative,netural,positive
2019-4-30,50.81439717,-29.46059984,-6.882744074
2019-5-1,17.03118861,-25.27081129,17.9602288
2019-5-2,21.07084784,-22.55181539,11.20311115
2019-5-3,8.809374388,-19.05973333,18.33052328
2019-5-6,26.39295321,-17.92480975,-1.543061703
2019-5-7,18.43062668,-30.05157986,20.9123801
2019-5-8,39.61076756,-27.53486583,4.311731309
2019-5-9,40.80431365,-29.77546567,5.619018547
2019-5-10,33.13314048,-29.65424144,13.19813445
2019-5-13,42.83799499,-28.4758302,-1.238132164
2019-5-14,24.24310273,-35.44461551,24.53674018
2019-5-15,37.11470234,-35.19385061,17.48302588
2019-5-16,35.73136517,-38.3014915,18.95954011
2019-5-17,33.8325559,-30.15188101,10.62903757
2019-5-20,23.68417476,-22.40186957,11.04740576
2019-5-21,32.21993497,-32.92013988,15.20214136
2019-5-22,25.18377976,-36.62292171,24.47650053
2019-5-23,44.14043601,-43.01229566,19.28517662
2019-5-24,29.04924154,-27.93844643,10.4540646
2019-5-27,30.94683559,-26.85572609,10.28080082
2019-5-28,53.58503086,-31.93013048,-3.040274739
2019-5-29,58.48001163,-35.82501265,-1.127303898
2019-5-30,32.54176759,-36.32720843,19.89720017
2019-5-31,38.87830964,-35.00503772,11.91768201
2019-6-3,33.57593195,-22.33486652,-1.719192922
2019-6-4,31.38018784,-30.71091658,14.3052917
2019-6-5,36.8143956,-42.38945401,27.38920231
2019-6-6,38.12150942,-32.9924736,10.42762318
2019-6-7,16.72741172,-23.20083472,17.40080108
2019-6-10,12.52444493,-30.72490013,31.64058392
2019-6-11,50.67940989,-34.72519797,1.234034508
2019-6-12,58.82101417,-38.32280597,-0.575814918
2019-6-13,22.3937858,-40.85148427,33.12018953
2019-6-14,-1.611362845,-32.71594223,42.77932136
2019-6-17,22.26206071,-23.68410659,14.75018284
2019-6-18,47.06935415,-35.80832985,7.778078511
2019-6-19,12.38252656,-38.67703921,35.87171213
2019-6-20,25.58492067,-37.89859957,23.63521577
2019-6-21,7.126168475,-30.68410835,33.24703261
2019-6-24,37.96537554,-33.11199078,14.29378606
2019-6-25,51.94116437,-34.99066535,1.432268217
2019-6-26,84.10876798,-47.66036671,-9.566937879
2019-6-27,41.66535509,-44.38700181,22.2935787
2019-6-28,6.491276413,-37.20182434,42.52339524
2019-7-1,10.72130666,-37.60558349,37.49418814
2019-7-2,59.69639741,-41.098901,5.860653833
2019-7-3,28.21983962,-37.60568362,27.1375188
2019-7-4,56.40242236,-39.53782511,4.188118324
2019-7-5,25.99982555,-30.48445854,21.03930064
2019-7-8,26.46114928,-26.88051188,12.99233137
2019-7-9,22.97224712,-29.71525654,18.68218858
2019-7-10,39.65665406,-30.78436154,5.154087588
2019-7-11,4.303516032,-33.3838309,35.83619883
2019-7-12,32.86859952,-30.69329074,12.46923418
2019-7-15,26.95926972,-31.97353607,19.2308759
2019-7-16,11.60635269,-30.21984634,31.65529625
2019-7-17,51.5260643,-32.0160273,-3.213396683
2019-7-18,22.7960207,-30.25401768,21.15524347
2019-7-19,29.69742341,-27.46775752,8.94573386
2019-7-22,37.52318925,-26.75233927,-0.252773032
2019-7-23,20.53360878,-32.50164443,23.89691378
2019-7-24,58.13676713,-34.32613337,-4.524414167
2019-7-25,30.65877242,-35.04170528,21.82305343
2019-7-26,60.47578753,-36.0740971,-3.803834006
2019-7-29,31.32895857,-28.83850574,10.55332808
2019-7-30,28.53091428,-38.24069104,24.87846339
2019-7-31,10.61224011,-27.33322379,25.60294856
2019-8-1,45.22694122,-34.408564,7.41024226
2019-8-2,59.55649346,-42.11344793,2.693761725
2019-8-5,48.55974402,-39.13078767,7.758460477
2019-8-6,39.03167659,-36.84622791,13.09094179
2019-8-7,18.54588258,-36.71769291,27.8205995
2019-8-8,38.46607135,-37.73738199,14.93099989
2019-8-9,55.65920985,-36.74125612,2.411174469
2019-8-12,25.31807948,-33.16050524,18.97556107
2019-8-13,27.57677765,-30.41471291,15.43030092
2019-8-14,53.79922036,-36.07954994,5.78251072
2019-8-15,64.94729458,-35.79594588,-6.084220141
2019-8-16,21.08774675,-38.77374834,30.18457378
2019-8-19,9.709584549,-33.7942158,36.58772949
2019-8-20,52.37866161,-34.82414266,3.051275834
2019-8-21,14.08602357,-41.95214453,43.54342799
2019-8-22,37.71634771,-42.29343626,22.31038409
2019-8-23,44.22778146,-39.28484371,10.23652425
2019-8-26,40.28789843,-27.23902375,0.904722817
2019-8-27,27.48610644,-34.52519676,23.92789316
2019-8-28,75.84781259,-42.69592193,-11.86522387
2019-8-29,65.52592999,-39.2403053,-7.700234562
2019-8-30,47.80450833,-38.9468945,11.13636632
2019-9-2,77.71648371,-38.45960796,-15.94089636
2019-9-3,47.84154643,-37.05096683,6.04888925
2019-9-4,33.41042967,-42.19871551,26.00742972
2019-9-5,28.13309039,-28.2286894,12.6023073
2019-9-6,53.3617479,-34.64008737,2.571006
2019-9-9,42.60151249,-32.9914335,5.138974011
2019-9-10,58.48649476,-40.56119043,4.084114648
2019-9-11,25.19300894,-37.8578355,26.93156758
2019-9-12,27.57295552,-31.5543355,19.71386109
2019-9-13,42.7806235,-24.53151032,-4.512172602
2019-9-16,18.92453425,-33.59329131,27.09076306
2019-9-17,48.51725295,-40.09819278,10.83832601
2019-9-18,49.13888806,-32.79985586,1.688474432
2019-9-19,57.48655857,-43.04794204,9.154691517
2019-9-20,26.67067097,-33.07613,21.86530066
2019-9-23,38.07412263,-24.14263043,3.56934049
2019-9-24,48.07745373,-36.83230829,6.386845887
2019-9-25,68.64907764,-36.70341015,-12.21760187
2019-9-26,67.89962483,-34.51317257,-12.03347941
2019-9-27,52.37635724,-35.40149364,5.067174613
